1.84	8.3	0.48	90
2	8.6	0.62	91
1.74	7.8	0.73	89
1.57	7.5	0.43	88
0.96	3.7	0.36	170
0.9	6.2	0.88	135
0.56	5.4	0.6	145
2.06	3.9	0.35	171
1.27	4	0.33	173
1.72	4.2	0.37	171
0.93	4.3	0.31	178
1.68	4.3	0.33	175
1.09	4.1	0.26	79
1.33	6.9	0.47	90
0.78	6.3	0.41	90
1.07	5.7	0.39	88
0.64	3.7	0.44	125
1.11	4.4	0.52	108
0.57	4.4	0.4	89
0.54	4	0.33	87
0.44	3.6	0.28	81
0.75	4.9	0.55	93
0.47	5.3	0.67	96
0.52	5.2	0.54	95
0.9	4.1	0.27	90
0.98	3.8	0.27	89
1.43	3.3	0.23	175
1.17	16.9	0.18	96
1.31	14.7	0.48	97
1.11	4.7	0.44	82
1.37	4.7	0.6	104
1.41	4.4	0.52	99
1.64	4.3	0.49	101
1.49	4.1	0.39	99
1.68	3.6	0.37	123
1.39	4.5	0.57	140
1.39	5.5	0.83	134
1.11	5	0.62	144
1.43	4.7	0.58	147
0.67	7.1	1.36	121
1.13	7	1.11	132
0.44	5.8	0.73	143
1.55	4.9	0.53	157
0.87	5	0.55	151
1.64	4.3	0.45	155
1.03	3	0.23	175
1.39	3.1	0.18	183
1.05	9.3	0.13	131
1.51	7.4	0.39	91
1.05	5.8	0.44	87
1.67	7	0.52	88
0.7	8.3	0.41	92
0.98	4.3	0.5	153
1.25	4.2	0.45	153
1.45	10.2	0.22	135
1.17	4.7	0.56	150
1.13	5.1	0.57	151
1.8	4.4	0.42	160
1.67	5.8	0.74	143
2.19	7.5	0.45	142
1.61	8.2	0.75	93
1.69	7	0.37	89
1.05	5.6	0.7	144
1.91	4.5	0.43	165
1.33	4.4	0.41	166
1.86	4.3	0.48	156
1.21	5.3	0.24	83
0.83	5.4	0.74	138
0.96	5.3	0.56	155
1.73	4.8	0.55	153
0.9	8.1	0.45	93
1.37	7.6	0.55	131
0.85	7.5	0.16	129
1.05	4	0.45	157
0.41	5.3	0.68	142
0.72	4.8	0.56	146
0.67	5.1	0.62	145
0.82	4.4	0.43	152
1.03	3.5	0.25	177
1.03	3.7	0.21	182
0.98	3.3	0.21	179
0.78	6.9	0.16	154
0.88	3.6	0.35	163
0.98	3.7	0.34	158
1.31	3	0.31	153
1.35	2.3	0.28	164
1.35	3.6	0.35	159
1.29	4.3	0.45	154
1.8	4.1	0.29	158
1.61	3.9	0.28	162
1.67	4	0.19	76
1.43	8.6	0.17	145
1.75	3	0.32	161
1.59	3.6	0.36	158
1.77	4	0.49	140
0.96	4.5	0.61	126
1.63	4.9	0.65	132
0.62	4.8	0.65	118
1.45	4.4	0.56	136
0.56	4.4	0.52	136
1.31	4.4	0.54	136
0.52	4.7	0.57	138
1.61	4	0.4	132
0.78	2.8	0.28	163
0.93	3	0.33	118
0.49	3.6	0.36	103
1.13	4.8	0.28	86
0.93	5	0.23	87
0.93	4.7	0.24	87
0.77	3.3	0.3	91
0.83	4.3	0.46	100
0.83	3.9	0.28	83
0.96	3.8	0.27	88
1.25	5	0.21	82
0.95	4.8	0.19	79
1.43	2.3	0.19	182
1.72	11.2	0.12	108
1.68	7.1	0.24	86
1.19	9	0.15	146
2.05	4.6	0.39	80
1.55	8	0.48	90
1.59	7.3	0.44	88
1.25	7	0.33	87
1.48	6.8	0.27	86
1.11	4.2	0.5	147
1.5	4.8	0.6	150
1.37	4.9	0.56	152
1.77	4.5	0.47	157
